,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
0,0050,元大台灣50,"3,762,585","5,619","519,688,684",138.85,138.90,137.65,137.95,-,0.3,137.85,19,137.95,155,0.00
1,0051,元大中型100,"40,698",48,"2,091,519",51.60,51.60,51.15,51.40,-,0.2,51.40,3,51.45,47,0.00
2,0052,富邦科技,"1,023,885",671,"132,672,565",130.35,130.70,129.15,129.20,-,0.7,129.15,106,129.20,41,0.00
3,0053,元大電子,"21,192",23,"1,442,339",68.55,68.70,67.85,67.85,-,0.25,67.85,1,68.00,3,0.00
4,0054,元大台商50,"2,000",2,"63,830",31.91,31.92,31.91,31.92,-,0.01,31.88,2,32.15,1,0.00
5,0055,元大MSCI金融,"96,820",71,"1,892,817",19.63,19.63,19.50,19.55,-,0.07,19.52,19,19.55,5,0.00
6,0056,元大高股息,"7,735,811","6,631","268,307,069",34.75,34.76,34.64,34.70,-,0.05,34.69,34,34.70,38,0.00
7,0057,富邦摩台,"25,000",6,"2,337,350",93.90,93.90,93.35,93.45,+,0.05,93.05,1,93.35,16,0.00
8,0061,元大寶滬深,"400,367",119,"9,455,731",23.74,23.80,23.50,23.55,-,0.18,23.51,16,23.55,13,0.00
9,006203,元大MSCI台灣,"5,410",12,"351,939",65.50,65.50,64.90,64.90,-,0.2,64.90,35,65.00,1,0.00
10,006204,永豐臺灣加權,"3,000",2,"251,500",83.85,83.85,83.80,83.80,+,0.2,83.80,9,84.50,10,0.00
11,006205,富邦上証,"1,280,306",486,"48,876,848",38.67,38.67,38.08,38.14,-,0.51,38.13,5,38.14,194,0.00
12,006206,元大上證50,"318,190",98,"12,312,126",39.10,39.10,38.41,38.43,-,0.64,38.43,177,38.44,57,0.00
13,006207,FH滬深,"354,227",50,"10,805,808",30.77,30.77,30.33,30.35,-,0.45,30.35,11,30.36,23,0.00
14,006208,富邦台50,"1,133,623","1,601","89,909,867",79.50,79.60,79.10,79.15,-,0.25,79.10,39,79.15,6,0.00
15,00625K,富邦上証+R,"1,000",1,"8,930",8.93,8.93,8.93,8.93,-,0.04,8.74,5,8.93,1,0.00
16,00631L,元大台灣50正2,"1,607,300",749,"193,995,682",121.80,121.90,119.65,120.35,-,0.95,120.30,1,120.35,262,0.00
17,00632R,元大台灣50反1,"85,581,538","6,160","508,071,043",5.91,5.96,5.90,5.94,+,0.02,5.94,"13,491",5.95,"6,330",0.00
18,00633L,富邦上証正2,"8,363,345","2,495","554,144,958",68.20,68.40,65.65,65.85,-,2.25,65.80,45,65.85,24,0.00
19,00634R,富邦上証反1,"1,305,006",86,"5,186,896",3.92,3.99,3.92,3.98,+,0.06,3.98,16,3.99,555,0.00
20,00635U,期元大S&P黃金,"1,022,298",384,"24,192,091",23.65,23.71,23.61,23.61,+,0.14,23.60,27,23.61,83,0.00
21,00636,國泰中國A50,"2,273,266",792,"61,530,999",27.43,27.46,26.95,27.00,-,0.43,27.00,50,27.01,50,0.00
22,00636K,國泰中國A50+U,200,2,"1,892",9.46,9.46,9.46,9.46,-,0.19,9.44,12,9.51,12,0.00
23,00637L,元大滬深300正2,"65,012,802","12,079","1,696,648,918",26.80,26.85,25.84,25.87,-,0.88,25.87,490,25.88,133,0.00
24,00638R,元大滬深300反1,"893,384",163,"7,181,830",7.93,8.08,7.92,8.07,+,0.14,8.06,110,8.07,486,0.00
25,00639,富邦深100,"1,219,686",499,"19,723,663",16.33,16.33,16.10,16.12,-,0.21,16.12,7,16.13,42,0.00
26,00640L,富邦日本正2,"712,001",72,"20,910,759",29.50,29.50,29.28,29.35,+,0.34,29.34,2,29.37,149,0.00
27,00641R,富邦日本反1,"133,000",29,"1,409,220",10.60,10.63,10.56,10.60,-,0.08,10.60,50,10.62,50,0.00
28,00642U,期元大S&P石油,"9,685,851","1,399","99,051,956",10.26,10.26,10.20,10.20, ,0.0,10.20,"1,785",10.21,49,0.00
29,00643,群益深証中小,"811,412",410,"14,040,453",17.54,17.54,17.25,17.26,-,0.24,17.26,25,17.28,40,0.00
30,00643K,群益深証中小+R,0,0,0,--,--,--,--, ,0.0,4.01,2,4.08,1,0.00
31,00645,富邦日本,"135,769",74,"3,490,017",25.69,25.76,25.67,25.74,+,0.14,25.71,100,25.73,1,0.00
32,00646,元大S&P500,"189,280",197,"6,757,918",35.71,35.75,35.67,35.68, ,0.0,35.68,2,35.70,2,0.00
33,00647L,元大S&P500正2,"1,587,760",70,"95,444,734",60.15,60.20,59.95,59.95,+,0.1,59.95,71,60.05,30,0.00
34,00648R,元大S&P500反1,"583,000",70,"4,415,510",7.57,7.59,7.56,7.59, ,0.0,7.58,498,7.59,"1,508",0.00
35,00650L,FH香港正2,"1,131,150",101,"34,508,369",30.91,31.07,30.33,30.35,-,0.37,30.34,11,30.35,20,0.00
36,00651R,FH香港反1,"410,000",31,"2,836,030",6.88,6.95,6.88,6.95,+,0.04,6.94,11,6.96,150,0.00
37,00652,富邦印度,"129,983",96,"3,286,826",25.37,25.37,25.20,25.28,-,0.18,25.27,4,25.28,41,0.00
38,00653L,富邦印度正2,"1,109,200",349,"39,470,624",35.88,35.88,35.30,35.45,-,0.48,35.45,51,35.50,15,0.00
39,00654R,富邦印度反1,"81,000",40,"784,880",9.71,9.73,9.66,9.72,+,0.04,9.68,5,9.73,21,0.00
40,00655L,國泰中國A50正2,"4,449,472","1,441","219,166,865",50.50,50.75,48.72,48.82,-,1.78,48.82,159,48.83,2,0.00
41,00656R,國泰中國A50反1,"102,000",29,"753,290",7.35,7.40,7.35,7.39,+,0.13,7.38,101,7.39,98,0.00
42,00657,國泰日經225,"162,000",6,"5,949,020",36.66,36.78,36.59,36.74,+,0.26,36.74,4,36.75,80,0.00
43,00657K,國泰日經225+U,200,2,"2,580",12.90,12.90,12.90,12.90,+,0.1,12.87,12,12.94,12,0.00
44,00660,元大歐洲50,"26,000",23,"741,000",28.53,28.53,28.43,28.50,+,0.03,28.43,2,28.50,20,0.00
45,00661,元大日經225,"1,000",1,"37,280",37.28,37.28,37.28,37.28,+,0.22,37.39,15,37.58,15,0.00
46,00662,富邦NASDAQ,"133,361",161,"6,721,714",50.50,50.50,50.30,50.30,+,0.25,50.30,44,50.35,37,0.00
47,00663L,國泰臺灣加權正2,"83,000",26,"8,919,850",107.10,107.80,107.10,107.30,-,0.5,107.30,196,107.55,40,0.00
48,00664R,國泰臺灣加權反1,"2,485,899",269,"16,767,666",6.71,6.77,6.71,6.75,+,0.02,6.75,308,6.76,962,0.00
49,00665L,富邦恒生國企正2,"156,000",44,"4,008,280",26.00,26.26,25.48,25.61,-,0.39,25.51,12,25.56,36,0.00
50,00666R,富邦恒生國企反1,"70,000",2,"770,000",11.00,11.00,11.00,11.00,+,0.12,10.99,50,11.04,50,0.00
51,00668,國泰美國道瓊,"37,535",28,"1,292,786",34.46,34.46,34.42,34.46, ,0.0,34.45,4,34.46,1,0.00
52,00668K,國泰美國道瓊+U,200,2,"2,420",12.10,12.10,12.10,12.10, ,0.0,12.06,22,12.14,22,0.00
53,00669R,國泰美國道瓊反1,"1,206,100",163,"10,085,870",8.34,8.38,8.34,8.37,+,0.01,8.36,385,8.37,397,0.00
54,00670L,富邦NASDAQ正2,"1,354,253",354,"125,238,512",92.80,92.85,91.95,91.95,+,0.75,91.95,354,92.00,10,0.00
55,00671R,富邦NASDAQ反1,"3,259,000",270,"19,254,640",5.89,5.93,5.89,5.93,-,0.02,5.92,629,5.93,471,0.00
56,00673R,期元大S&P原油反1,"156,000",46,"2,988,660",19.11,19.21,19.11,19.21,-,0.04,19.20,4,19.21,149,0.00
57,00674R,期元大S&P黃金反1,"232,000",63,"3,178,700",13.71,13.73,13.68,13.72,-,0.1,13.73,7,13.75,149,0.00
58,00675L,富邦臺灣加權正2,"233,609",168,"10,824,782",46.81,46.81,45.96,46.09,-,0.34,46.09,36,46.10,1,0.00
59,00676R,富邦臺灣加權反1,"2,303,000",208,"8,459,330",3.65,3.69,3.65,3.67,+,0.01,3.67,"1,680",3.68,155,0.00
60,00677U,期富邦VIX,"192,240,202","7,709","358,342,158",1.83,1.89,1.83,1.86,+,0.02,1.86,"10,177",1.87,"2,242",0.00
61,00678,群益NBI生技,"260,369",81,"7,146,418",27.56,27.57,27.36,27.37,-,0.16,27.37,3,27.38,25,0.00
62,00680L,元大美債20正2,"151,000",44,"3,371,130",22.31,22.39,22.24,22.24,+,0.31,22.19,75,22.24,45,0.00
63,00681R,元大美債20反1,"63,000",12,"904,460",14.33,14.38,14.33,14.38,-,0.09,14.37,63,14.41,40,0.00
64,00682U,期元大美元指數,"113,000",52,"2,072,440",18.41,18.41,18.32,18.34,-,0.08,18.34,2,18.36,11,0.00
65,00683L,期元大美元指正2,"1,121,000",373,"19,297,920",17.23,17.27,17.17,17.27,-,0.03,17.26,1,17.27,13,0.00
66,00684R,期元大美元指反1,"1,000",1,"18,990",18.99,18.99,18.99,18.99,+,0.06,18.99,4,19.03,75,0.00
67,00685L,群益臺灣加權正2,"16,000",5,"646,760",40.34,40.50,40.34,40.38,-,0.26,40.33,10,40.51,10,0.00
68,00686R,群益臺灣加權反1,"108,000",13,"432,250",3.99,4.02,3.99,4.01,+,0.01,4.01,211,4.02,49,0.00
69,00688L,國泰20年美債正2,"61,000",10,"1,356,590",22.28,22.38,22.22,22.22,+,0.32,22.20,1,22.24,209,0.00
70,00689R,國泰20年美債反1,"183,000",13,"2,762,580",15.10,15.13,15.06,15.13,-,0.07,15.11,150,15.13,2,0.00
71,00690,兆豐藍籌30,"130,179",41,"4,225,882",32.56,32.60,32.41,32.48,-,0.01,32.40,1,32.48,18,0.00
72,00692,富邦公司治理,"2,191,461","1,768","75,976,394",34.75,34.80,34.53,34.65,-,0.03,34.65,7,34.66,98,0.00
73,00693U,期街口S&P黃豆,"492,639",133,"10,591,982",21.58,21.59,21.45,21.45,+,0.03,21.44,402,21.45,4,0.00
74,00700,富邦恒生國企,"119,458",20,"2,364,044",20.00,20.03,19.77,19.78,-,0.1,19.78,1,19.82,20,0.00
75,00701,國泰股利精選30,"1,880,139",807,"42,721,081",22.79,22.79,22.68,22.75,-,0.04,22.74,26,22.75,29,0.00
76,00702,國泰標普低波高息,"120,684",23,"2,443,946",20.31,20.31,20.24,20.26,-,0.1,20.26,1,20.27,50,0.00
77,00703,台新MSCI中國,"105,500",33,"2,700,124",25.88,25.88,25.53,25.53,-,0.28,25.53,15,25.57,20,0.00
78,00706L,期元大S&P日圓正2,"179,000",33,"2,918,520",16.28,16.31,16.28,16.28,+,0.13,16.27,2,16.29,10,0.00
79,00707R,期元大S&P日圓反1,0,0,0,--,--,--,--, ,0.0,19.72,40,19.76,17,0.00
80,00708L,期元大S&P黃金正2,"3,004,768","1,154","76,643,023",25.54,25.61,25.43,25.43,+,0.29,25.43,21,25.44,180,0.00
81,00709,富邦歐洲,"139,921",22,"3,239,908",23.15,23.17,23.11,23.17,+,0.14,23.16,1,23.17,50,0.00
82,00710B,FH彭博高收益債,"393,017",105,"7,328,421",18.65,18.66,18.63,18.65, ,0.0,18.65,42,18.66,20,0.00
83,00711B,FH彭博新興債,"122,406",15,"2,476,646",20.26,20.26,20.23,20.25,+,0.07,20.23,4,20.25,9,0.00
84,00712,FH富時不動產,"1,235,566",463,"17,617,661",14.25,14.27,14.24,14.25,+,0.01,14.25,203,14.26,1,0.00
85,00713,元大台灣高息低波,"256,715",192,"10,688,495",41.55,41.80,41.39,41.75,+,0.23,41.71,2,41.75,10,0.00
86,00714,群益道瓊美國地產,"241,420",35,"4,972,198",20.60,20.60,20.55,20.56,-,0.14,20.57,1,20.58,46,0.00
87,00715L,期街口布蘭特正2,"24,499,083","1,891","159,278,446",6.55,6.57,6.48,6.48,+,0.03,6.48,"2,144",6.49,613,0.00
88,00717,富邦美國特別股,"645,436",152,"11,127,346",17.25,17.25,17.23,17.25,+,0.01,17.24,28,17.26,55,0.00
89,00728,第一金工業30,"807,481",463,"22,794,441",28.30,28.35,28.11,28.20,-,0.1,28.20,16,28.21,20,0.00
90,00730,富邦臺灣優質高息,"924,252",354,"20,196,035",21.90,21.95,21.77,21.83, ,0.0,21.82,31,21.83,12,0.00
91,00731,FH富時高息低波,"271,643",27,"14,913,033",54.95,54.95,54.80,54.90,-,0.05,54.85,1,54.90,2,0.00
92,00732,國泰RMB短期報酬,"100,000",2,"3,958,000",39.58,39.58,39.58,39.58,-,0.04,39.53,27,39.55,1,0.00
93,00733,富邦臺灣中小,"924,763",476,"35,427,202",38.46,38.81,37.88,38.00,-,0.1,38.00,1,38.01,3,0.00
94,00735,國泰臺韓科技,"107,992",15,"3,786,335",35.11,35.25,35.00,35.05,-,0.06,34.95,1,34.98,35,0.00
95,00736,國泰新興市場,"108,001",10,"2,556,953",23.88,23.88,23.67,23.68,-,0.12,23.65,1,23.69,40,0.00
96,00737,國泰AI+Robo,"351,326",114,"11,771,325",33.52,33.59,33.42,33.42,+,0.22,33.42,77,33.45,1,0.00
97,00738U,期元大道瓊白銀,"1,470,886",458,"38,940,500",26.52,26.55,26.33,26.37,+,0.17,26.36,2,26.37,8,0.00
98,00739,元大MSCI A股,"403,348",88,"11,114,858",27.85,27.85,27.41,27.46,-,0.39,27.45,8,27.46,20,0.00
99,00742,新光內需收益,"78,671",27,"1,714,438",21.83,21.86,21.67,21.70,-,0.13,21.75,1,21.80,2,0.00
100,00743,國泰中國A150,"104,000",5,"2,967,270",28.55,28.59,28.53,28.54,-,0.4,28.42,1,28.54,27,0.00
101,00752,中信中國50,"1,906,426","1,335","57,890,200",30.55,30.61,30.29,30.30,-,0.16,30.29,70,30.30,62,0.00
102,00753L,中信中國50正2,"544,740",349,"20,815,757",39.11,39.11,37.87,37.87,-,0.87,37.87,25,37.91,1,0.00
103,00757,統一FANG+,"1,130,666",645,"54,706,935",48.43,48.50,48.29,48.29,+,0.34,48.28,16,48.29,1,0.00
104,00762,元大全球AI,"197,836",115,"7,844,617",39.65,39.79,39.54,39.54,+,0.14,39.54,48,39.55,1,0.00
105,00763U,期街口道瓊銅,"347,000",73,"9,276,970",26.85,26.95,26.67,26.67,-,0.11,26.66,906,26.68,1,0.00
106,00770,國泰北美科技,"117,976",16,"4,225,231",35.78,35.83,35.74,35.74,+,0.23,35.74,49,35.78,30,0.00
107,00771,元大US高息特別股,"21,865",69,"424,624",19.41,19.43,19.40,19.43,+,0.02,19.39,17,19.43,2,0.00
108,00774B,新光中國政金綠債,"2,004",3,"78,456",39.15,39.15,39.15,39.15, ,0.0,39.01,4,39.19,1,0.00
109,00774C,新光中政金綠債+R,0,0,0,--,--,--,--, ,0.0,8.98,5,9.18,2,0.00
110,00775B,新光投等債15+,"2,000",2,"83,460",41.73,41.73,41.73,41.73,+,0.36,41.75,1,41.92,5,0.00
111,00783,富邦中証500,"603,272",24,"12,962,796",21.66,21.66,21.45,21.50,-,0.19,21.46,20,21.50,22,0.00
112,008201,BP上證50,200,2,"25,370",125.90,127.80,125.90,127.80,X,0.0,125.30,1,127.90,1,0.00
113,00830,國泰費城半導體,"1,035,805",483,"30,548,163",29.56,29.60,29.42,29.43,+,0.07,29.43,66,29.44,17,0.00
114,00850,元大臺灣ESG永續,"1,849,817","1,511","62,585,689",33.96,33.99,33.75,33.78,-,0.11,33.77,14,33.78,28,0.00
115,00851,台新全球AI,"56,445",20,"1,746,453",30.97,30.97,30.89,30.89,+,0.24,30.86,30,30.89,3,0.00
116,00852L,國泰美國道瓊正2,"5,882,008",107,"116,514,918",19.89,19.90,19.77,19.79,-,0.02,19.79,794,19.80,6,0.00
117,00861,元大全球未來通訊,"998,326",388,"29,434,869",29.50,29.57,29.41,29.41,+,0.01,29.41,9,29.42,26,0.00
118,00865B,國泰US短期公債,"104,000",5,"3,873,750",37.19,37.25,37.18,37.25,-,0.05,37.18,58,37.29,12,0.00
119,00875,國泰網路資安,"736,038",316,"22,851,243",31.01,31.10,31.01,31.02,+,0.15,31.01,40,31.02,54,0.00
120,00876,元大未來關鍵科技,"3,814,113","1,352","115,292,764",30.26,30.30,30.16,30.16,+,0.03,30.15,11,30.16,23,0.00
121,00878,國泰永續高股息,"6,568,590","3,626","121,537,627",18.59,18.60,18.44,18.51,-,0.07,18.51,141,18.52,148,0.00
122,00881,國泰台灣5G+,"41,111,071","14,228","743,647,624",18.19,18.24,18.01,18.01,-,0.14,18.01,522,18.02,844,0.00
123,00882,中信中國高股息,"8,145,290","4,496","133,245,764",16.41,16.41,16.33,16.35,-,0.06,16.34,90,16.35,672,0.00
124,01001T,土銀富邦R1,"2,831",3,"53,667",18.97,18.97,18.95,18.95, ,0.0,18.95,7,18.96,1,0.00
125,01002T,土銀國泰R1,"165,000",72,"3,084,040",18.70,18.70,18.69,18.70, ,0.0,18.68,26,18.70,13,0.00
126,01003T,兆豐新光R1,"562,000",160,"11,191,630",19.90,20.10,19.81,20.05,+,0.5,20.01,4,20.05,11,0.00
127,01004T,土銀富邦R2,"13,000",12,"232,700",17.90,17.90,17.90,17.90, ,0.0,17.90,2,18.07,1,0.00
128,01007T,兆豐國泰R2,"329,799",44,"6,900,044",20.97,20.97,20.80,20.88,-,0.09,20.82,5,20.88,1,0.00
129,01009T,王道圓滿R1,"16,000",11,"153,670",9.61,9.61,9.60,9.60,-,0.01,9.60,25,9.61,1,0.00
130,01010T,京城樂富R1,"74,000",25,"808,870",10.95,10.96,10.90,10.95, ,0.0,10.92,1,10.95,3,0.00
131,020000,富邦特選蘋果N,"26,000",9,"204,850",7.91,7.91,7.86,7.87,-,0.04,7.85,10,7.86,10,0.00
132,020002,元富新中國N,0,0,0,--,--,--,--, ,0.0,20.19,499,20.21,355,0.00
133,020004,兆豐電菁英30N,0,0,0,--,--,--,--, ,0.0,33.10,499,33.11,499,0.00
134,020006,永昌中小300N,0,0,0,--,--,--,--, ,0.0,30.70,100,30.71,100,0.00
135,020007,凱基臺灣500N,0,0,0,--,--,--,--, ,0.0,32.58,219,32.63,229,0.00
136,020008,元大特股高息N,"54,000",5,"639,480",11.88,11.88,11.84,11.84,-,0.04,11.85,100,11.86,100,0.00
137,020011,統一微波高息20N,"47,000",13,"282,770",6.12,6.12,5.98,5.99,-,0.05,5.99,493,6.00,497,0.00
138,020012,富邦行動通訊N,"12,000",8,"81,690",6.76,6.86,6.76,6.84,+,0.07,6.83,100,6.84,100,0.00
139,020015,統一MSCI美低波N,0,0,0,--,--,--,--, ,0.0,14.04,497,14.06,498,0.00
140,020016,統一MSCI美科技N,"1,000",1,"18,470",18.47,18.47,18.47,18.47,X,0.0,18.45,495,18.47,494,0.00
141,020018,統一價值成長30N,"78,000",17,"1,100,510",14.20,14.20,14.10,14.10,-,0.11,14.10,495,14.12,497,0.00
142,020019,統一特選台灣5GN,"139,000",49,"1,971,890",14.27,14.30,14.10,14.11,-,0.11,14.11,493,14.13,495,0.00
143,02001L,富邦蘋果正二N,"15,000",3,"202,960",13.51,13.56,13.48,13.48,-,0.1,13.38,10,13.41,10,0.00
144,02001R,富邦蘋果反一N,"50,000",1,"140,500",2.81,2.81,2.81,2.81,X,0.0,2.82,499,2.83,499,0.00
145,020020,元大台股領航N,"3,915,000","1,248","27,344,740",7.05,7.10,6.95,6.96,-,0.05,6.96,117,6.97,100,0.00
146,020022,元大電動車N,"11,544,000","1,993","72,456,620",6.21,6.35,6.21,6.24,+,0.05,6.24,153,6.25,100,0.00
147,1101,台泥,"19,693,919","9,966","922,360,423",46.90,47.05,46.70,46.70,-,0.2,46.70,112,46.75,24,11.04
148,1101B,台泥乙特,"2,000",2,"107,400",53.60,53.80,53.60,53.80,+,0.2,53.50,1,53.60,30,0.00
149,1102,亞泥,"9,025,700","3,797","422,149,410",46.90,47.00,46.65,46.70,-,0.2,46.65,176,46.70,72,10.66
150,1103,嘉泥,"2,507,624","1,165","54,505,679",22.30,22.30,21.55,21.65,-,0.25,21.65,37,21.70,73,7.90
151,1104,環泥,"3,982,994","1,262","92,082,252",22.85,23.55,22.70,23.35,+,0.55,23.30,10,23.35,80,12.23
152,1108,幸福,"5,330,158","1,692","70,030,482",12.95,13.30,12.90,13.30,+,0.4,13.30,74,13.35,117,13.71
153,1109,信大,"1,048,085",381,"25,101,092",24.00,24.10,23.70,24.05,+,0.05,24.00,12,24.05,19,8.18
154,1110,東泥,"72,550",44,"1,169,751",16.10,16.15,16.10,16.10,-,0.05,16.10,15,16.15,14,402.50
155,1201,味全,"1,246,669",517,"26,922,736",21.80,21.85,21.50,21.60,-,0.15,21.55,51,21.60,56,20.38
156,1203,味王,"112,353",93,"4,247,951",37.80,37.95,37.80,37.90,+,0.05,37.85,15,37.95,10,20.94
157,1210,大成,"2,109,320","1,394","114,133,158",54.40,54.40,54.00,54.20,-,0.2,54.20,18,54.30,43,13.58
158,1213,大飲,"35,189",24,"337,337",9.28,10.00,9.28,9.46,+,0.16,9.40,2,9.70,10,0.00
159,1215,卜蜂,"1,425,899","1,235","107,097,882",75.60,75.60,74.80,75.10,-,0.5,75.00,71,75.20,59,12.15
160,1216,統一,"7,887,913","2,724","574,409,898",72.90,73.00,72.50,72.80,-,0.2,72.80,787,72.90,31,19.21
161,1217,愛之味,"3,751,607","1,332","34,424,864",9.28,9.28,9.10,9.15,-,0.09,9.14,129,9.15,7,19.47
162,1218,泰山,"602,996",410,"17,893,191",29.75,29.85,29.55,29.70,-,0.15,29.70,11,29.75,8,16.97
163,1219,福壽,"827,951",332,"17,951,600",21.80,21.85,21.60,21.75, ,0.0,21.70,3,21.75,58,11.39
164,1220,台榮,"1,497,464",517,"21,549,496",14.20,14.65,14.20,14.55,+,0.35,14.55,19,14.60,12,14.26
165,1225,福懋油,"510,331",373,"25,784,678",51.60,51.70,49.75,50.20,-,1.1,50.20,14,50.30,1,29.19
166,1227,佳格,"2,560,265","1,870","146,260,628",57.10,57.30,57.00,57.20,+,0.1,57.10,60,57.20,83,16.16
167,1229,聯華,"3,402,107","2,309","170,265,800",50.00,50.30,49.80,50.30,+,0.3,50.20,59,50.30,19,20.70
168,1231,聯華食,"508,315",483,"28,997,786",57.50,57.50,56.70,57.50,+,0.1,57.00,1,57.50,17,15.37
169,1232,大統益,"86,984",170,"12,294,518",140.50,142.00,140.50,141.00, ,0.0,141.00,21,141.50,1,17.45
170,1233,天仁,"25,100",25,"877,248",35.05,35.05,34.80,35.00,-,0.05,34.95,1,35.00,7,55.56
171,1234,黑松,"232,961",183,"8,102,259",34.85,34.95,34.70,34.80,+,0.05,34.80,1,34.85,16,15.75
172,1235,興泰,"12,274",14,"355,059",28.95,29.15,28.80,29.15, ,0.0,29.15,2,29.20,4,44.85
173,1236,宏亞,"32,627",127,"454,604",14.00,14.00,13.85,13.85,-,0.15,13.85,14,13.95,5,0.00
174,1256,鮮活果汁-KY,"46,858",465,"21,145,984",452.00,454.00,446.50,446.50,-,5.5,446.00,2,452.50,5,19.42
175,1301,台塑,"16,457,513","7,693","1,689,241,961",101.50,104.50,101.00,103.00,+,2.5,103.00,27,103.50,240,32.70
176,1303,南亞,"21,028,387","8,912","1,720,942,097",80.30,83.20,80.10,82.30,+,2.2,82.20,32,82.30,39,25.40
177,1304,台聚,"12,158,123","5,003","315,918,695",25.70,26.35,25.55,26.15,+,0.5,26.10,64,26.15,144,11.62
178,1305,華夏,"21,737,109","8,804","813,834,775",37.20,38.10,36.60,37.60,+,0.9,37.60,13,37.65,23,12.75
179,1307,三芳,"821,906",455,"18,377,044",22.05,22.55,22.00,22.40,+,0.45,22.40,2,22.45,18,40.73
180,1308,亞聚,"6,497,582","2,856","166,152,368",25.30,25.90,25.20,25.75,+,0.5,25.70,58,25.75,110,13.55
181,1309,台達化,"21,239,833","10,750","937,650,939",44.05,44.80,43.40,44.20,+,0.85,44.20,109,44.25,70,7.92
182,1310,台苯,"7,127,589","3,003","146,232,420",20.80,20.90,20.25,20.55,-,0.25,20.55,117,20.60,43,37.36
183,1312,國喬,"23,629,881","8,138","664,750,705",28.20,28.45,27.80,28.45,+,0.45,28.40,309,28.45,291,6.41
184,1312A,國喬特,"8,000",6,"272,000",33.95,34.05,33.95,34.05,X,0.0,33.90,1,34.00,2,0.00
185,1313,聯成,"49,737,822","10,285","1,124,133,526",22.05,22.75,21.95,22.75,+,2.05,22.75,"3,912",--,0,13.79
186,1314,中石化,"209,958,833","34,444","2,484,788,510",11.65,12.15,11.60,11.70,+,0.35,11.70,"1,734",11.75,504,55.71
187,1315,達新,"197,429",184,"14,910,898",76.10,76.10,75.30,75.50,-,0.4,75.50,12,75.60,2,1.86
188,1316,上曜,"1,395,596",410,"16,498,137",11.95,11.95,11.65,11.90,+,0.05,11.90,39,11.95,32,59.50
189,1319,東陽,"1,913,889","1,003","69,039,604",36.40,36.40,35.80,35.95,-,0.4,35.95,48,36.00,2,25.86
190,1321,大洋,"174,000",109,"6,312,900",36.20,36.40,36.15,36.20,-,0.05,36.20,9,36.25,1,11.17
191,1323,永裕,"384,631",220,"13,563,337",35.25,35.40,35.05,35.35,+,0.35,35.30,2,35.35,34,10.94
192,1324,地球,"89,851",56,"956,178",10.60,10.70,10.55,10.70,+,0.1,10.65,8,10.70,13,48.64
193,1325,恆大,"1,228,894","1,004","112,056,972",91.10,91.80,90.80,90.80,-,0.8,90.70,8,90.80,15,3.92
194,1326,台化,"7,636,511","3,967","674,696,145",87.30,88.90,87.30,88.50,+,1.2,88.50,12,88.60,1,26.50
195,1337,再生-KY,"1,420,396",660,"11,098,604",7.87,7.89,7.75,7.80,-,0.05,7.80,5,7.81,19,0.00
196,1338,廣華-KY,"565,325",497,"39,325,302",70.60,70.90,69.00,69.20,-,1.4,69.10,23,69.20,1,19.72
197,1339,昭輝,"134,000",109,"5,425,900",40.65,40.70,40.25,40.70,-,0.1,40.55,4,40.75,2,25.60
198,1340,勝悅-KY,"488,856",430,"5,142,386",10.40,10.65,10.40,10.60,+,0.2,10.55,5,10.60,5,0.00
199,1341,富林-KY,"45,012",50,"3,299,568",74.50,74.50,72.50,73.50,+,1.5,73.40,3,73.90,3,11.69
200,1342,八貫,"224,002",175,"12,980,317",57.00,58.80,57.00,58.50,+,1.8,58.50,7,58.60,1,20.24
201,1402,遠東新,"8,293,247","2,649","252,510,742",30.55,30.75,30.20,30.40,-,0.1,30.35,134,30.40,49,20.13
202,1409,新纖,"23,072,704","8,274","422,360,852",18.60,18.75,18.00,18.30,-,0.3,18.30,391,18.35,93,10.22
203,1410,南染,"74,405",60,"2,588,946",34.60,35.60,34.55,34.60, ,0.0,34.60,2,34.65,3,36.42
204,1413,宏洲,"96,754",41,"840,661",8.76,8.76,8.66,8.66,-,0.08,8.66,1,8.68,1,0.00
205,1414,東和,"2,127,551",797,"30,043,909",14.35,14.35,13.90,14.00,-,0.3,14.00,131,14.10,5,51.85
206,1416,廣豐,"1,462,025",486,"16,397,403",11.35,11.35,11.15,11.15,-,0.15,11.15,65,11.20,17,0.00
207,1417,嘉裕,"1,131,848",385,"13,605,797",12.15,12.20,11.90,11.95,-,0.1,11.95,171,12.00,20,0.00
208,1418,東華,"20,060",42,"206,610",10.30,10.30,10.30,10.30,+,0.9,10.30,233,--,0,0.00
209,1419,新紡,"58,916",33,"2,422,127",41.05,41.30,41.05,41.10,-,0.1,41.00,2,41.20,3,33.69
210,1423,利華,"439,748",190,"9,603,755",21.90,22.20,21.50,21.90,-,0.2,21.80,4,21.95,11,8.55
211,1432,大魯閣,"245,255",145,"3,730,386",15.15,15.35,15.10,15.25,+,0.1,15.20,5,15.25,7,0.00
212,1434,福懋,"2,574,425","1,336","80,856,344",31.45,31.50,31.35,31.40, ,0.0,31.35,185,31.40,17,25.12
