,證券代號,證券名稱,成交股數,成交筆數,成交金額,開盤價,最高價,最低價,收盤價,漲跌(+/-),漲跌價差,最後揭示買價,最後揭示買量,最後揭示賣價,最後揭示賣量,本益比
832,4562,穎漢,"181,021",117,"4,254,193",23.60,23.75,23.35,23.75,+,0.35,23.65,1,23.75,8,0.00
833,4564,元翎,"1,446,167",864,"54,490,744",38.05,38.20,37.25,37.75,-,0.3,37.70,2,37.80,18,23.16
834,4566,時碩工業,"398,679",277,"24,553,903",63.00,63.00,60.70,61.20,-,1.4,61.20,2,61.50,13,41.35
835,4571,鈞興-KY,"1,303,968",954,"211,647,881",154.50,168.00,154.50,168.00,+,15.0,168.00,141,--,0,28.47
836,4572,駐龍,"85,260",80,"8,404,555",98.70,99.00,98.10,98.20,-,0.3,98.20,1,98.60,2,106.74
837,4576,大銀微系統,"2,083,039","1,649","340,431,647",160.50,167.00,158.00,161.00,+,1.5,161.00,19,161.50,2,141.23
838,4581,光隆精密-KY,"31,030",25,"1,216,130",39.20,39.25,39.10,39.20,-,0.3,39.15,3,39.20,1,19.41
839,4720,德淵,"2,475,658","1,152","46,038,202",18.70,18.95,18.10,18.80,+,0.1,18.80,4,18.85,25,24.10
840,4722,國精化,"1,724,647",665,"61,492,934",36.15,36.60,34.90,34.95,-,1.15,34.90,27,34.95,3,12.14
841,4737,華廣,"140,878",120,"10,782,199",77.00,77.00,76.10,76.40,-,0.1,76.40,2,76.50,3,73.46
842,4739,康普,"4,684,721","2,560","372,628,498",75.80,80.90,74.50,80.90,+,7.3,80.90,908,--,0,45.97
843,4746,台耀,"4,107,872","2,698","247,438,011",60.20,61.30,59.20,59.80,-,0.1,59.70,23,59.80,4,16.21
844,4755,三福化,"134,387",113,"9,088,334",68.50,68.60,67.10,67.90,-,0.4,67.50,1,67.90,3,17.10
845,4763,材料-KY,"267,439",247,"36,483,520",138.50,139.00,135.00,135.00,-,3.0,135.00,27,135.50,26,13.38
846,4764,雙鍵,"25,700",22,"1,651,240",64.90,64.90,64.00,64.20,-,0.1,64.20,4,64.30,3,78.29
847,4766,南寶,"172,285",145,"27,778,661",162.50,162.50,160.50,160.50,-,2.5,160.50,24,161.00,4,15.86
848,4807,日成-KY,"21,314",149,"532,331",25.15,25.15,24.45,24.65,-,0.7,24.60,1,24.95,2,10.72
849,4904,遠傳,"4,830,314","1,790","314,565,953",64.80,65.30,64.80,65.20,+,0.4,65.10,115,65.20,31,25.47
